feedback,sentiment,timestamp,department,patient_age_group,visit_type
Acceptable cleanliness.,1,2024-02-01 11:26:59.470839,Neurology,61-75,Emergency
Excellent facilities.,2,2024-02-01 11:26:59.471289,General Medicine,46-60,Consultation
Very effective treatment. Minimal waiting time.,2,2024-02-01 11:26:59.471683,Pediatrics,46-60,Follow-up
Regular treatment process.,1,2024-02-01 11:26:59.471691,Orthopedics,46-60,Routine Checkup
Not happy with the results.,0,2024-02-01 11:26:59.472171,Cardiology,75+,Consultation
Cleanliness issues in the facility. The procedure didn't help much. Spent hours waiting.,0,2024-02-01 11:26:59.472585,Pediatrics,31-45,Follow-up
Basic but functional facility.,1,2024-02-01 11:26:59.478178,Emergency,18-30,Consultation
No delays in the appointment. The facility was clean and modern.,2,2024-02-01 11:26:59.478941,General Medicine,18-30,Procedure
Poor maintenance of the premises. The medical team seemed rushed and inattentive.,0,2024-02-01 11:26:59.479642,Neurology,75+,Procedure
"The treatment was okay. Moreover, Basic but functional facility.",1,2024-02-01 11:26:59.479661,Surgery,46-60,Consultation
Disappointed with the nurse's attitude. Unsatisfactory treatment outcome. Had to wait too long.,0,2024-02-01 11:26:59.479688,General Medicine,61-75,Follow-up
"Very effective treatment. Also, The nurse was extremely professional and caring.",2,2024-02-01 11:26:59.481065,General Medicine,18-30,Emergency
"Regular facility conditions. Additionally, The wait was reasonable. Additionally, Treatment was as expected.",1,2024-02-01 11:26:59.483524,Cardiology,61-75,Consultation
care team provided excellent care and attention! Minimal waiting time.,2,2024-02-01 11:26:59.485368,Surgery,75+,Procedure
State-of-the-art equipment.,2,2024-02-01 11:26:59.486990,General Medicine,18-30,Routine Checkup
"The procedure didn't help much. Additionally, Uncomfortable environment. Additionally, Poor communication from the healthcare provider.",0,2024-02-01 11:26:59.487732,Pediatrics,75+,Routine Checkup
Excessive waiting time.,0,2024-02-01 11:26:59.490491,Emergency,75+,Consultation
The waiting time was frustrating.,0,2024-02-02 11:26:59.444713,Pediatrics,46-60,Procedure
receptionist did their job as expected. Treatment was as expected. Waited as expected.,1,2024-02-02 11:26:59.447473,General Medicine,61-75,Routine Checkup
Uncomfortable environment.,0,2024-02-02 11:26:59.448320,Neurology,18-30,Emergency
Regular facility conditions. doctor did their job as expected. Average waiting time.,1,2024-02-02 11:26:59.448413,Obstetrics,31-45,Emergency
Standard hospital environment.,1,2024-02-02 11:26:59.453443,Emergency,75+,Routine Checkup
The receptionist took time to explain everything clearly.,2,2024-02-02 11:26:59.453743,Emergency,31-45,Emergency
"Very comfortable environment. Additionally, The procedure went very well.",2,2024-02-02 11:26:59.454573,Neurology,75+,Procedure
State-of-the-art equipment.,2,2024-02-02 11:26:59.462460,Orthopedics,18-30,Follow-up
Very effective treatment.,2,2024-02-02 11:26:59.462738,Pediatrics,46-60,Consultation
"The nurse was extremely professional and caring. Moreover, Excellent treatment results. Moreover, Well-maintained hospital environment.",2,2024-02-02 11:26:59.464437,Neurology,75+,Consultation
Excellent facilities. The medical team was extremely professional and caring. Completely satisfied with the care received.,2,2024-02-02 11:26:59.474724,Neurology,46-60,Routine Checkup
The physician was extremely professional and caring.,2,2024-02-02 11:26:59.477341,Pediatrics,61-75,Emergency
The nurse seemed rushed and inattentive.,0,2024-02-02 11:26:59.478361,Oncology,61-75,Routine Checkup
Got seen right away.,2,2024-02-02 11:26:59.479250,Obstetrics,18-30,Emergency
Got seen right away. The procedure went very well. nurse provided excellent care and attention.,2,2024-02-02 11:26:59.480563,Surgery,75+,Routine Checkup
State-of-the-art equipment! The staff member was extremely professional and caring.,2,2024-02-02 11:26:59.483212,Oncology,31-45,Follow-up
"Regular treatment process. Additionally, Standard hospital environment.",1,2024-02-02 11:26:59.484390,Emergency,75+,Procedure
Disappointed with the receptionist's attitude! Unsatisfactory treatment outcome.,0,2024-02-02 11:26:59.485373,General Medicine,31-45,Emergency
The waiting time was frustrating.,0,2024-02-02 11:26:59.492662,Orthopedics,18-30,Routine Checkup
The waiting time was frustrating. Disappointed with the surgeon's attitude. Outdated equipment.,0,2024-02-03 11:26:59.444131,Emergency,31-45,Consultation
No delays in the appointment. Completely satisfied with the care received.,2,2024-02-03 11:26:59.446268,Surgery,61-75,Follow-up
Very effective treatment.,2,2024-02-03 11:26:59.446999,Neurology,18-30,Emergency
"No delays in the appointment. Moreover, Completely satisfied with the care received.",2,2024-02-03 11:26:59.449545,Oncology,31-45,Consultation
Not happy with the results.,0,2024-02-03 11:26:59.451395,Surgery,18-30,Follow-up
Unsatisfactory treatment outcome.,0,2024-02-03 11:26:59.453806,Emergency,18-30,Procedure
care team provided excellent care and attention! Minimal waiting time.,2,2024-02-03 11:26:59.456170,Pediatrics,75+,Routine Checkup
The healthcare provider was extremely professional and caring.,2,2024-02-03 11:26:59.456728,Orthopedics,46-60,Consultation
Minimal waiting time! Very effective treatment.,2,2024-02-03 11:26:59.458302,Cardiology,31-45,Emergency
Minimal waiting time! The facility was clean and modern! The healthcare provider was extremely professional and caring.,2,2024-02-03 11:26:59.468213,Oncology,61-75,Consultation
"Spent hours waiting. Also, Cleanliness issues in the facility.",0,2024-02-03 11:26:59.468547,Neurology,31-45,Consultation
"The wait was reasonable. Also, The surgeon was okay.",1,2024-02-03 11:26:59.469150,Obstetrics,75+,Emergency
Minimal waiting time.,2,2024-02-03 11:26:59.469169,Neurology,46-60,Routine Checkup
The physician was extremely professional and caring.,2,2024-02-03 11:26:59.469325,Cardiology,75+,Procedure
Normal wait times. healthcare provider did their job as expected.,1,2024-02-03 11:26:59.474939,General Medicine,61-75,Routine Checkup
Got seen right away.,2,2024-02-03 11:26:59.483026,Surgery,75+,Emergency
"Regular treatment process. Also, Basic but functional facility.",1,2024-02-03 11:26:59.484631,Surgery,18-30,Routine Checkup
Standard hospital environment.,1,2024-02-03 11:26:59.487542,Neurology,46-60,Consultation
"Completely satisfied with the care received. Moreover, Impressed with how quickly I was seen. Moreover, The physician took time to explain everything clearly.",2,2024-02-03 11:26:59.487622,Neurology,61-75,Routine Checkup
The treatment was okay.,1,2024-02-03 11:26:59.489171,Orthopedics,31-45,Consultation
"Regular treatment process. Additionally, specialist did their job as expected. Additionally, Basic but functional facility.",1,2024-02-03 11:26:59.490633,Obstetrics,46-60,Emergency
Average waiting time! Regular interaction with the specialist! Treatment was as expected.,1,2024-02-03 11:26:59.492757,Cardiology,31-45,Emergency
"Not happy with the results. Additionally, Cleanliness issues in the facility. Additionally, The care team seemed rushed and inattentive.",0,2024-02-04 11:26:59.447400,Obstetrics,75+,Follow-up
The procedure went very well! Excellent facilities.,2,2024-02-04 11:26:59.448288,Pediatrics,31-45,Consultation
"Excellent treatment results. Additionally, Got seen right away.",2,2024-02-04 11:26:59.448602,Oncology,61-75,Routine Checkup
Very effective treatment. Exceptional service from the specialist.,2,2024-02-04 11:26:59.449457,General Medicine,61-75,Routine Checkup
Regular facility conditions! The wait was reasonable.,1,2024-02-04 11:26:59.449943,Orthopedics,75+,Follow-up
Regular treatment process. The healthcare provider was present when needed.,1,2024-02-04 11:26:59.451419,Surgery,61-75,Emergency
"Very effective treatment. Additionally, Very impressed with the staff member's expertise. Additionally, Minimal waiting time.",2,2024-02-04 11:26:59.452327,General Medicine,75+,Emergency
Basic but functional facility.,1,2024-02-04 11:26:59.455108,General Medicine,61-75,Emergency
Regular facility conditions.,1,2024-02-04 11:26:59.455576,Pediatrics,75+,Routine Checkup
Uncomfortable environment.,0,2024-02-04 11:26:59.458890,Surgery,31-45,Routine Checkup
"The waiting time was frustrating. Additionally, Poor communication from the medical team.",0,2024-02-04 11:26:59.459831,Oncology,75+,Follow-up
Completely satisfied with the care received. Exceptional service from the medical team. No delays in the appointment.,2,2024-02-04 11:26:59.460056,General Medicine,75+,Procedure
Standard hospital environment. Waited as expected.,1,2024-02-04 11:26:59.461108,Cardiology,18-30,Procedure
"The healthcare provider was not very helpful. Additionally, Not happy with the results. Additionally, Outdated equipment.",0,2024-02-04 11:26:59.462078,Obstetrics,46-60,Consultation
Standard procedure.,1,2024-02-04 11:26:59.467803,Obstetrics,61-75,Routine Checkup
No delays in the appointment.,2,2024-02-04 11:26:59.470182,Pediatrics,31-45,Emergency
"Well-maintained hospital environment. Moreover, Got seen right away.",2,2024-02-04 11:26:59.473958,Pediatrics,18-30,Emergency
"Acceptable cleanliness. Moreover, The treatment was okay.",1,2024-02-04 11:26:59.480254,General Medicine,18-30,Consultation
"Poor treatment experience. Additionally, Outdated equipment.",0,2024-02-04 11:26:59.482007,Pediatrics,18-30,Routine Checkup
Regular facility conditions.,1,2024-02-04 11:26:59.483827,Pediatrics,46-60,Follow-up
"The wait was reasonable. Additionally, receptionist did their job as expected. Additionally, Treatment was as expected.",1,2024-02-04 11:26:59.485241,Oncology,61-75,Procedure
Very effective treatment.,2,2024-02-04 11:26:59.486159,Oncology,46-60,Consultation
Poor communication from the medical team.,0,2024-02-04 11:26:59.487034,Surgery,46-60,Procedure
"The physician took time to explain everything clearly. Also, Completely satisfied with the care received.",2,2024-02-04 11:26:59.487611,Pediatrics,46-60,Follow-up
"Not happy with the results. Also, The surgeon didn't address my concerns. Also, Uncomfortable environment.",0,2024-02-04 11:26:59.488401,Obstetrics,18-30,Procedure
The facility was clean and modern.,2,2024-02-04 11:26:59.488862,Neurology,18-30,Emergency
Excellent treatment results. Very efficient process.,2,2024-02-04 11:26:59.489346,Orthopedics,61-75,Procedure
"Uncomfortable environment. Additionally, Poor communication from the medical team.",0,2024-02-04 11:26:59.489952,Surgery,31-45,Emergency
"The treatment was okay. Also, Regular facility conditions. Also, Average waiting time.",1,2024-02-04 11:26:59.491655,Oncology,75+,Emergency
Basic but functional facility.,1,2024-02-05 11:26:59.444413,Cardiology,46-60,Routine Checkup
"Impressed with how quickly I was seen. Additionally, The facility was clean and modern.",2,2024-02-05 11:26:59.444630,Emergency,31-45,Consultation
"Acceptable cleanliness. Moreover, Regular interaction with the surgeon.",1,2024-02-05 11:26:59.446685,Obstetrics,75+,Routine Checkup
The facility needs updating! Spent hours waiting.,0,2024-02-05 11:26:59.449610,General Medicine,75+,Consultation
"Unsatisfactory treatment outcome. Moreover, The facility needs updating.",0,2024-02-05 11:26:59.450257,Oncology,75+,Procedure
The medical team was not very helpful.,0,2024-02-05 11:26:59.455774,Pediatrics,75+,Follow-up
The waiting time was frustrating. The nurse was not very helpful. The treatment wasn't effective.,0,2024-02-05 11:26:59.456866,Cardiology,61-75,Consultation
Had to wait too long.,0,2024-02-05 11:26:59.458387,General Medicine,31-45,Emergency
"The treatment wasn't effective. Also, Unacceptable delays.",0,2024-02-05 11:26:59.458396,Orthopedics,61-75,Consultation
"The treatment was okay. Also, Standard hospital environment. Also, Waited as expected.",1,2024-02-05 11:26:59.459620,Pediatrics,18-30,Consultation
Impressed with how quickly I was seen. Well-maintained hospital environment. Very effective treatment.,2,2024-02-05 11:26:59.460016,Orthopedics,75+,Follow-up
"Impressed with how quickly I was seen. Moreover, Exceptional service from the receptionist.",2,2024-02-05 11:26:59.460214,Pediatrics,46-60,Follow-up
The specialist was extremely professional and caring. Excellent facilities. The procedure went very well.,2,2024-02-05 11:26:59.461499,Obstetrics,31-45,Follow-up
Basic but functional facility.,1,2024-02-05 11:26:59.462907,Obstetrics,75+,Routine Checkup
"Excellent treatment results. Additionally, Very impressed with the physician's expertise.",2,2024-02-05 11:26:59.462933,Cardiology,18-30,Emergency
Had to wait too long.,0,2024-02-05 11:26:59.465856,General Medicine,31-45,Follow-up
"Average waiting time. Additionally, The doctor was present when needed.",1,2024-02-05 11:26:59.467556,Cardiology,18-30,Follow-up
Very impressed with the surgeon's expertise! The procedure went very well! State-of-the-art equipment.,2,2024-02-05 11:26:59.467982,Oncology,61-75,Consultation
Treatment was as expected.,1,2024-02-05 11:26:59.470290,Neurology,31-45,Emergency
Very impressed with the nurse's expertise.,2,2024-02-05 11:26:59.470586,Obstetrics,18-30,Follow-up
"Had to wait too long. Additionally, Uncomfortable environment. Additionally, Not happy with the results.",0,2024-02-05 11:26:59.471129,Cardiology,75+,Follow-up
"Very efficient process. Moreover, Excellent treatment results.",2,2024-02-05 11:26:59.474091,Surgery,31-45,Follow-up
Standard hospital environment! The medical team was present when needed! Waited as expected.,1,2024-02-05 11:26:59.474490,Neurology,46-60,Emergency
medical team provided excellent care and attention. The procedure went very well.,2,2024-02-05 11:26:59.475765,Cardiology,61-75,Emergency
Regular facility conditions.,1,2024-02-05 11:26:59.476273,Pediatrics,75+,Emergency
"healthcare provider provided excellent care and attention. Moreover, State-of-the-art equipment.",2,2024-02-05 11:26:59.483207,General Medicine,18-30,Emergency
Waited as expected.,1,2024-02-05 11:26:59.484787,Surgery,31-45,Routine Checkup
Normal wait times.,1,2024-02-05 11:26:59.485078,Obstetrics,46-60,Routine Checkup
staff member did their job as expected. Waited as expected. The treatment was okay.,1,2024-02-05 11:26:59.485999,Surgery,61-75,Emergency
Average waiting time.,1,2024-02-05 11:26:59.489780,Cardiology,31-45,Procedure
The procedure went very well.,2,2024-02-05 11:26:59.492406,General Medicine,18-30,Emergency
Got seen right away.,2,2024-02-06 11:26:59.445368,Obstetrics,61-75,Procedure
The physician took time to explain everything clearly.,2,2024-02-06 11:26:59.445869,Orthopedics,75+,Procedure
"Very comfortable environment. Moreover, Very efficient process. Moreover, Exceptional service from the surgeon.",2,2024-02-06 11:26:59.448355,Emergency,31-45,Consultation
Standard procedure! Average waiting time.,1,2024-02-06 11:26:59.449806,Neurology,31-45,Procedure
Regular treatment process. Standard hospital environment. The doctor was okay.,1,2024-02-06 11:26:59.449853,Neurology,61-75,Routine Checkup
No delays in the appointment! Completely satisfied with the care received.,2,2024-02-06 11:26:59.450247,Pediatrics,46-60,Emergency
Impressed with how quickly I was seen. Very impressed with the physician's expertise.,2,2024-02-06 11:26:59.451493,Cardiology,75+,Procedure
"The nurse was present when needed. Additionally, Waited as expected.",1,2024-02-06 11:26:59.454366,Obstetrics,46-60,Follow-up
Disappointed with the doctor's attitude! The procedure didn't help much! Uncomfortable environment.,0,2024-02-06 11:26:59.454767,Obstetrics,61-75,Emergency
"Well-maintained hospital environment. Additionally, Very efficient process.",2,2024-02-06 11:26:59.457509,General Medicine,61-75,Procedure
"Great outcome from the treatment. Additionally, State-of-the-art equipment. Additionally, The staff member took time to explain everything clearly.",2,2024-02-06 11:26:59.460344,Emergency,61-75,Procedure
Regular interaction with the surgeon.,1,2024-02-06 11:26:59.463489,Pediatrics,61-75,Follow-up
Very comfortable environment.,2,2024-02-06 11:26:59.465049,Neurology,46-60,Consultation
"Uncomfortable environment. Moreover, The specialist seemed rushed and inattentive. Moreover, The treatment wasn't effective.",0,2024-02-06 11:26:59.467642,Orthopedics,31-45,Routine Checkup
Very comfortable environment. care team provided excellent care and attention.,2,2024-02-06 11:26:59.468760,Cardiology,18-30,Procedure
Basic but functional facility. Normal wait times. The treatment was okay.,1,2024-02-06 11:26:59.469354,Surgery,31-45,Procedure
Regular interaction with the care team.,1,2024-02-06 11:26:59.472208,General Medicine,61-75,Routine Checkup
"Excellent treatment results. Moreover, Got seen right away. Moreover, Excellent facilities.",2,2024-02-06 11:26:59.473398,Oncology,46-60,Consultation
Normal wait times! The healthcare provider was okay.,1,2024-02-06 11:26:59.475399,Neurology,46-60,Routine Checkup
Well-maintained hospital environment.,2,2024-02-06 11:26:59.480398,Obstetrics,75+,Procedure
The treatment was okay.,1,2024-02-06 11:26:59.480578,Cardiology,46-60,Follow-up
The doctor was not very helpful! Outdated equipment.,0,2024-02-06 11:26:59.481429,Pediatrics,46-60,Consultation
Not happy with the results. Had to wait too long. Outdated equipment.,0,2024-02-06 11:26:59.482951,Cardiology,61-75,Procedure
"Outdated equipment. Additionally, Spent hours waiting. Additionally, Poor treatment experience.",0,2024-02-06 11:26:59.488526,Oncology,61-75,Emergency
Excellent treatment results.,2,2024-02-06 11:26:59.490171,General Medicine,18-30,Follow-up
The surgeon was not very helpful! Uncomfortable environment! Unsatisfactory treatment outcome.,0,2024-02-06 11:26:59.491326,Emergency,75+,Consultation
The treatment was okay.,1,2024-02-06 11:26:59.491690,Obstetrics,46-60,Procedure
The facility was clean and modern.,2,2024-02-07 11:26:59.449770,Emergency,75+,Procedure
Very effective treatment.,2,2024-02-07 11:26:59.451956,Neurology,61-75,Emergency
"physician did their job as expected. Additionally, Acceptable cleanliness. Additionally, Waited as expected.",1,2024-02-07 11:26:59.452283,General Medicine,61-75,Emergency
The treatment wasn't effective.,0,2024-02-07 11:26:59.453572,Emergency,31-45,Emergency
State-of-the-art equipment. Impressed with how quickly I was seen. Great outcome from the treatment.,2,2024-02-07 11:26:59.453713,Obstetrics,46-60,Procedure
Disappointed with the surgeon's attitude.,0,2024-02-07 11:26:59.453875,Obstetrics,31-45,Consultation
Not happy with the results. The facility needs updating.,0,2024-02-07 11:26:59.455023,Surgery,61-75,Routine Checkup
"Excellent treatment results. Also, The physician took time to explain everything clearly.",2,2024-02-07 11:26:59.456407,Obstetrics,46-60,Consultation
"Uncomfortable environment. Moreover, Not happy with the results. Moreover, Had to wait too long.",0,2024-02-07 11:26:59.457613,General Medicine,75+,Procedure
Excessive waiting time.,0,2024-02-07 11:26:59.465024,Surgery,31-45,Emergency
"Got seen right away. Moreover, The surgeon was extremely professional and caring.",2,2024-02-07 11:26:59.465613,Obstetrics,61-75,Routine Checkup
"Poor maintenance of the premises. Additionally, The procedure didn't help much.",0,2024-02-07 11:26:59.467745,Neurology,61-75,Procedure
